		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000001111   21   28   44   16   19   17   34   25 27.780168 0.000518 FAILURE   7
000010001   33   27   14   20   19   13   22   14 20.385854 0.008971 FAILURE   8
000010011   24   30   30   22   31   22   27   22  5.529703 0.699747 SUCCESS   9
000010101   27   23   26   29   25   24   20   24  2.223776 0.973371 SUCCESS  10
000010111   22   22   23   23   18   30   28   20  5.086177 0.748327 SUCCESS  11
000011001   28   27   24   31   31   31   19   23  7.699673 0.463343 SUCCESS  12
000011011   23   24   18   23   24   26   22   31  4.112405 0.846842 SUCCESS  13
000011101   22   27   23   23   19   20   22   37  9.722021 0.285081 SUCCESS  14
000011111   16   33   34   15   31   21   31   30 19.282334 0.013421 SUCCESS  15
000100011   28   33   22   18   19   12   24   22 13.660139 0.091065 SUCCESS  16
000100101   28   18   27   27   23   26   18   22  5.027261 0.754659 SUCCESS  17
000100111   21   22   24   25   27   23   23   24  1.214257 0.996499 SUCCESS  18
000101001   19   30   26   17   26   37   26   28 12.486449 0.130784 SUCCESS  19
000101011   22   24   24   27   26   22   21   28  1.935153 0.982936 SUCCESS  20
000101101   32   30   31   32   27   32   29   20 12.523520 0.129329 SUCCESS  21
000101111   18   26   21   22   23   36   19   22  9.839854 0.276447 SUCCESS  22
000110011   27   18   19   25   34   26   17   28 10.154294 0.254363 SUCCESS  23
000110101   18   31   20   30   23   25   34   28 10.283380 0.245697 SUCCESS  24
000110111   23   35   21   29   21   28   32   21 10.207253 0.250780 SUCCESS  25
000111001   25   19   24   20   28   24   24   24  2.646119 0.954569 SUCCESS  26
000111011   19   23   18   21   30   18   14   41 22.862982 0.003545 FAILURE  27
000111101   25   15   37   18   16   17   20   31 20.193218 0.009629 FAILURE  28
000111111   19   30   24   17   26   17   29   24  8.221313 0.412156 SUCCESS  29
001000011   27   28   18   23   27   29   12   35 15.111861 0.057007 SUCCESS  30
001000101   24   31   27   17   31   32   21   23  9.325496 0.315586 SUCCESS  31
001000111   27   30   29   25   24   15   21   16  9.755120 0.282636 SUCCESS  32
001001011   28   21   23   21   23   27   27   26  2.376032 0.967261 SUCCESS  33
001001101   26   28   26   17   39   23   26   16 15.298539 0.053594 SUCCESS  34
001001111   29   31   23   29   15   20   24   28  8.841588 0.355835 SUCCESS  35
001010011   27   19   27   24   21   38   26   30 11.580199 0.170940 SUCCESS  36
001010101   31   26   28   28   26   32   21   17  8.419245 0.393624 SUCCESS  37
001010111   12   25   16   23   22   30   18   21 13.396009 0.098931 SUCCESS  38
001011011   34   25   27   29   25   25   32   21  8.073030 0.426369 SUCCESS  39
001011101   20   16   23   26   17   20   26   27  7.533516 0.480309 SUCCESS  40
001011111   17   20   16   28   23   28   16   23 10.380029 0.239359 SUCCESS  41
001100101   33   30   26   34   14   30   22   24 14.639207 0.066552 SUCCESS  42
001100111   30   18   19   16   30   22   22   19 10.338325 0.242078 SUCCESS  43
001101011   18   29   19   25   30   30   27   26  6.935749 0.543581 SUCCESS  44
001101101   27   18   20   19   17   30   23   29  8.703897 0.367887 SUCCESS  45
001101111   25   32   20   22   25   30   29   19  7.003270 0.536280 SUCCESS  46
001110101   24   25   23   25   23   25   20   12  7.550728 0.478538 SUCCESS  47
001110111   14   15   18   23   30   22   18   26 13.556870 0.094072 SUCCESS  48
001111011   32   21   27   17   19   23   23   33 10.078167 0.259582 SUCCESS  49
001111101   12   21   24   29   26   19   23   21  9.821318 0.277792 SUCCESS  50
001111111   20   23   27   19   26   23   33   26  5.858707 0.663055 SUCCESS  51
010000011   27   23   33   26   21   22   20   21  5.654818 0.685834 SUCCESS  52
010000111   17   33   29   17   28   28   19   35 15.765235 0.045866 SUCCESS  53
010001011   23   32   32   23   24   27   26   21  5.953371 0.652455 SUCCESS  54
010001111   26   29   24   23   17   10   25   17 14.531967 0.068911 SUCCESS  55
010010011   23   32   27   26   23   25   25   22  3.283606 0.915320 SUCCESS  56
010010111   16   21   23   21   24   22   27   25  4.602270 0.799116 SUCCESS  57
010011011   24   21   32   16   28   25   27   22  7.027764 0.533640 SUCCESS  58
010011111   20   19   23   26   15   25   27   30  7.619574 0.471485 SUCCESS  59
010100011   24   16   23   33   24   21   26   24  6.823874 0.555749 SUCCESS  60
010100111   28   18   23   26   19   34   35   27 12.664522 0.123926 SUCCESS  61
010101011   23   21   24   23   27   28   19   19  3.967431 0.860050 SUCCESS  62
010101111   16   26   19   26   28   19   15   23 10.049701 0.261555 SUCCESS  63
010110011   32   36   24   30   24   20   18   25 12.062782 0.148425 SUCCESS  64
010110111   23   15   25   27   23   20   35   28 10.340973 0.241905 SUCCESS  65
010111011   24   17   21   24   22   20   26   18  5.728297 0.677636 SUCCESS  66
010111111   21   25   19   31   33   22   18   28  9.248044 0.321805 SUCCESS  67
011000111   20   11   20   29   28   21   19   21 12.904820 0.115167 SUCCESS  68
